Year,State,0 to 11,12 to 17,Male,Female,Unknown Gender,White,Black,Amer. Indian/Alaskan Native,Asian/Nat. Hawaiian/Pac Isl,Unknown Race,Family,Acquaintance,Stranger,Unknown,Firearm,Knife,Blunt object,Personal,Other/unknown Weapon,One offender involved,Two or more offenders involved,Unknown number of offenders involved
1985,OK,0,7,6,1,0,4,3,0,0,0,1,5,1,0,3,2,0,1,1,7,0,0
1986,OK,0,26,24,2,0,17,6,2,0,0,2,16,7,0,9,8,6,0,2,12,13,0
1987,OK,0,14,9,5,0,9,5,0,0,0,4,7,3,0,8,2,1,1,2,8,6,0
1988,OK,1,22,21,2,0,11,12,0,0,0,7,10,6,0,11,4,2,4,2,15,8,0
1989,OK,0,23,21,2,0,13,8,2,0,0,6,12,5,0,15,6,0,1,1,12,11,0
1990,OK,1,25,24,2,0,11,15,0,0,0,5,16,5,0,18,5,0,3,0,11,15,0
1991,OK,0,26,23,3,0,10,15,1,0,0,5,13,8,0,21,1,0,2,2,10,16,0
1992,OK,0,37,32,5,0,11,23,2,0,0,4,14,18,0,29,5,0,0,3,14,22,0
1993,OK,1,38,37,2,0,11,28,0,0,0,8,12,18,1,35,2,1,0,1,14,25,0
1994,OK,0,45,35,10,0,25,18,2,0,0,8,25,12,0,30,6,6,3,0,20,25,0
1995,OK,0,31,28,3,0,14,12,5,0,0,2,18,11,0,25,3,3,0,0,7,24,0
1996,OK,0,28,27,1,0,8,14,3,3,0,1,20,6,1,24,0,0,1,3,6,22,0
1997,OK,1,25,23,3,0,10,16,0,0,0,5,12,6,3,18,2,0,2,4,11,15,0
1998,OK,0,28,25,3,0,15,12,1,0,0,3,22,3,0,23,2,1,2,0,11,17,0
1999,OK,0,25,21,4,0,5,19,1,0,0,4,15,6,0,20,1,1,0,3,14,11,0
2000,OK,0,19,12,7,0,9,6,4,0,0,5,12,2,0,10,7,2,0,0,10,9,0
2001,OK,0,18,15,3,0,9,6,2,1,0,3,10,5,0,10,3,2,2,1,7,11,0
2002,OK,1,16,14,3,0,9,8,0,0,0,2,9,6,0,8,5,1,3,0,4,13,0
2003,OK,0,13,10,3,0,6,7,0,0,0,1,7,2,3,12,1,0,0,0,2,11,0
2004,OK,0,8,8,0,0,4,3,1,0,0,0,8,0,0,8,0,0,0,0,3,5,0
2005,OK,0,10,9,1,0,6,3,1,0,0,0,6,2,2,10,0,0,0,0,4,6,0
2006,OK,0,17,16,1,0,4,11,0,0,2,1,12,2,2,13,0,2,1,1,5,12,0
2007,OK,0,15,10,5,0,4,10,1,0,0,3,9,3,0,8,2,0,5,0,6,9,0
2008,OK,0,27,23,4,0,13,13,1,0,0,3,12,8,4,17,6,3,1,0,11,16,0
2009,OK,0,21,20,1,0,5,14,2,0,0,2,9,8,2,15,5,0,1,0,6,15,0
2010,OK,0,16,16,0,0,3,12,0,0,0,1,8,4,2,11,2,0,2,0,9,6,0
2011,OK,0,15,14,1,0,7,7,1,0,0,2,7,3,3,11,2,0,1,1,8,7,0
2012,OK,0,10,8,2,0,3,5,2,0,0,1,5,3,1,8,2,0,0,0,5,5,0
2013,OK,0,11,10,1,0,4,7,0,0,0,0,4,5,2,7,1,1,0,2,1,10,0
2014,OK,0,12,9,3,0,7,3,2,0,0,2,8,1,1,7,1,0,0,4,4,8,0
2015,OK,0,16,13,3,0,10,6,1,0,0,2,12,1,2,10,2,0,1,4,5,12,0
2016,OK,0,14,12,2,0,6,5,3,0,0,2,4,5,3,11,1,0,1,1,5,9,0
2017,OK,0,19,19,0,0,6,12,0,0,1,3,9,5,2,18,0,0,0,1,7,12,0
2018,OK,0,16,15,1,0,8,7,1,0,0,3,5,6,2,11,1,0,4,0,10,6,0
2019,OK,0,16,11,5,0,8,6,1,0,1,2,9,2,3,13,1,0,1,1,6,10,0
2020,OK,0,25,24,1,0,8,15,2,0,0,3,13,6,3,22,0,2,0,1,7,18,0
1980,KS,0,9,9,0,0,5,1,1,1,0,3,2,3,0,2,2,1,1,2,2,6,0
1981,KS,0,6,4,2,0,0,5,1,0,0,1,4,1,0,5,1,0,0,0,3,3,0
1982,KS,0,7,7,0,0,5,1,1,0,0,2,3,2,0,4,0,2,1,0,4,3,0
1983,KS,0,3,2,1,0,2,0,1,0,0,1,2,0,0,1,1,0,1,0,3,0,0
1984,KS,0,5,4,1,0,3,1,0,1,0,1,4,0,0,3,1,0,1,0,2,3,0
1985,KS,0,8,7,1,0,5,3,0,0,0,3,4,1,0,5,2,0,1,0,7,1,0
1986,KS,0,6,4,1,0,6,0,0,0,0,1,4,0,0,2,3,0,0,0,3,2,0
1987,KS,0,7,7,0,0,6,0,0,0,1,3,3,1,0,6,0,0,1,0,1,6,0
1989,KS,0,12,9,4,0,5,7,0,0,0,2,2,7,2,5,0,4,4,0,12,0,0
1990,KS,0,10,10,0,0,4,5,0,0,0,1,3,5,0,3,1,3,2,0,4,5,0
1991,KS,0,10,9,1,0,5,5,0,0,0,0,3,4,3,9,0,0,1,0,3,7,0
1992,KS,0,9,9,0,0,4,5,0,0,0,0,5,1,3,7,1,0,1,0,4,5,0
2001,KS,0,6,5,1,0,5,0,0,1,0,2,1,1,1,3,1,0,1,0,5,1,0
2002,KS,0,6,5,1,0,6,0,0,0,0,0,4,1,1,0,2,0,4,0,4,2,0
2003,KS,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2004,KS,0,3,3,0,0,3,0,0,0,0,0,3,0,0,2,0,0,0,2,3,0,0
2005,KS,1,18,16,3,0,5,9,0,4,0,3,8,6,1,5,14,0,0,0,6,13,0
2006,KS,0,9,8,1,0,6,3,0,0,0,1,6,1,1,4,1,1,0,3,6,3,0
2007,KS,0,9,9,0,0,6,3,0,0,0,0,2,4,3,9,0,0,0,0,1,8,0
2008,KS,0,12,12,0,0,7,5,0,0,0,1,5,1,5,9,1,0,2,0,9,3,0
2009,KS,0,13,13,0,0,9,4,0,1,0,0,4,8,2,10,4,0,0,0,1,12,0
2010,KS,0,7,7,0,0,4,3,0,0,0,1,2,1,3,5,0,0,0,2,2,5,0
2011,KS,0,12,12,0,0,6,6,0,0,0,0,8,3,1,11,1,0,0,0,5,7,0
2012,KS,0,2,2,0,0,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,0
2013,KS,0,8,8,0,0,2,6,0,0,0,2,0,5,1,7,0,0,0,1,3,5,0
2014,KS,0,7,6,1,0,5,2,0,0,0,1,1,3,2,3,4,0,0,0,2,5,0
2015,KS,0,3,3,0,0,2,1,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0
2016,KS,0,9,9,0,0,0,9,0,0,0,0,5,2,2,8,1,0,0,0,1,8,0
2017,KS,0,14,12,1,0,6,7,0,0,0,1,7,2,2,6,1,0,1,5,5,9,0
2018,KS,0,7,7,0,0,3,4,0,0,0,2,3,2,0,7,0,0,0,0,3,4,0
2019,KS,1,12,12,1,0,8,6,0,0,0,0,7,2,5,14,0,0,0,0,5,9,0
2020,KS,0,12,10,2,0,11,1,0,0,0,2,2,6,2,8,0,2,0,2,1,11,0
1980,OR,0,3,2,1,0,3,0,0,0,0,1,1,1,0,2,0,0,0,1,3,0,0
1981,OR,0,9,9,0,0,5,3,0,0,0,1,1,4,2,6,2,0,0,0,1,7,0
1982,OR,0,9,5,4,0,7,2,0,0,0,4,4,1,0,4,1,4,0,0,5,4,0
1983,OR,0,3,3,0,0,2,0,1,0,0,0,1,1,1,3,0,0,0,0,1,2,0
1984,OR,0,8,6,2,0,8,0,0,0,0,2,3,2,1,3,0,2,3,0,1,7,0
1985,OR,1,9,10,0,0,10,0,0,0,0,2,8,0,0,6,1,1,0,2,5,5,0
1986,OR,1,11,12,0,0,10,2,0,0,0,3,7,2,0,5,2,2,2,1,10,2,0
1987,OR,0,13,12,1,0,5,5,1,2,0,6,4,3,0,8,4,1,0,0,11,2,0
1988,OR,0,6,5,1,0,5,1,0,0,0,2,1,3,0,4,1,0,0,1,5,1,0
1989,OR,1,6,7,0,0,6,1,0,0,0,1,5,1,0,5,1,1,0,0,5,2,0
1990,OR,0,9,8,1,0,6,3,0,0,0,3,4,2,0,6,1,0,0,2,8,1,0
1991,OR,0,11,11,0,0,7,4,0,0,0,1,4,4,1,6,4,0,0,1,5,5,0
1992,OR,0,12,12,0,0,10,2,0,0,0,2,9,1,0,5,2,1,2,2,8,4,0
1993,OR,0,18,15,3,0,10,6,2,0,0,2,7,9,0,5,3,5,0,5,6,12,0
1994,OR,0,14,14,0,0,8,4,0,2,0,3,6,5,0,10,3,0,1,0,9,5,0
1995,OR,1,12,12,1,0,8,5,0,0,0,1,7,5,0,8,1,2,2,0,5,8,0
1996,OR,0,11,9,2,0,9,2,0,0,0,0,3,6,1,3,4,1,1,1,4,6,0
1997,OR,0,6,5,1,0,2,4,0,0,0,1,4,1,0,3,0,3,0,0,1,5,0
1998,OR,0,16,15,1,0,16,0,0,0,0,3,8,4,1,7,2,4,1,2,6,10,0
1999,OR,0,6,4,2,0,3,3,0,0,0,0,6,0,0,4,1,0,0,1,3,3,0
2000,OR,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0
2001,OR,0,5,3,2,0,4,0,1,0,0,0,4,0,1,4,0,0,1,0,0,5,0
2002,OR,0,2,1,1,0,2,0,0,0,0,1,0,1,0,1,0,1,0,0,2,0,0
2003,OR,0,3,2,1,0,3,0,0,0,0,1,0,2,0,0,1,2,0,0,2,1,0
2004,OR,0,11,9,2,0,8,2,0,0,1,1,6,4,0,6,3,0,2,0,6,5,0
2005,OR,0,5,5,0,0,4,1,0,0,0,1,2,2,0,4,0,1,0,0,2,3,0
2006,OR,0,4,3,1,0,4,0,0,0,0,2,2,0,0,2,0,0,1,1,4,0,0
2007,OR,0,10,10,0,0,8,1,0,0,1,0,4,2,4,1,6,3,0,0,1,9,0
2008,OR,0,6,1,5,0,4,1,0,0,1,1,5,0,0,5,0,0,0,1,1,5,0
2009,OR,0,11,10,1,0,7,1,3,0,0,0,10,1,0,4,7,0,0,0,2,9,0
2010,OR,0,7,7,0,0,6,1,0,0,0,0,3,1,2,3,1,0,1,1,3,3,0
2011,OR,0,5,4,1,0,4,1,0,0,0,0,4,0,1,3,2,0,0,0,3,2,0
2012,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,OR,0,4,3,1,0,3,1,0,0,0,1,1,2,0,2,0,1,0,1,1,3,0
2014,OR,0,4,4,0,0,4,0,0,0,0,2,2,0,0,4,0,0,0,0,0,4,0
2015,OR,0,4,4,0,0,2,0,1,0,0,1,1,1,0,1,0,0,1,1,4,0,0
2016,OR,0,7,7,0,0,7,0,0,0,0,0,2,0,4,1,5,0,0,0,3,3,0
2017,OR,0,13,9,4,0,11,2,0,0,0,3,5,2,3,10,2,1,0,0,4,9,0
2018,OR,0,8,7,1,0,5,3,0,0,0,1,2,0,5,4,0,2,0,2,0,8,0
2019,OR,0,8,6,2,0,6,2,0,0,0,0,1,1,6,7,1,0,0,0,2,6,0
2020,OR,1,9,10,0,0,6,3,0,0,1,0,3,4,3,5,0,3,1,1,2,8,0
1980,PA,1,59,56,4,0,23,37,0,0,0,10,18,32,0,19,18,4,12,7,31,29,0
1981,PA,0,62,57,5,0,18,44,0,0,0,10,22,29,0,23,15,4,13,6,34,28,0
1982,PA,0,39,34,5,0,22,17,0,0,0,7,13,19,0,12,10,3,9,5,20,19,0
1983,PA,0,21,19,2,0,11,10,0,0,0,4,10,6,1,5,9,2,2,3,12,9,0
1984,PA,0,23,17,6,0,6,17,0,0,0,7,10,4,2,13,6,0,4,0,16,7,0
1985,PA,1,30,23,8,0,7,24,0,0,0,9,13,9,0,16,6,2,6,1,25,6,0
1986,PA,0,43,41,2,0,28,16,0,0,0,7,28,7,1,21,17,0,2,4,35,8,0
1987,PA,0,36,31,5,0,20,16,0,0,0,6,10,20,0,20,5,4,0,8,20,16,0
1988,PA,0,50,48,2,0,18,32,0,0,0,8,29,7,6,16,13,12,7,2,30,20,0
1989,PA,2,59,57,4,0,18,44,0,0,0,3,34,19,5,47,7,3,2,2,37,25,0
1990,PA,1,60,59,2,0,28,33,0,0,0,4,38,17,2,44,8,3,2,3,31,31,0
1991,PA,0,54,51,2,0,13,40,0,1,0,4,36,13,0,44,8,0,2,0,24,30,0
1992,PA,0,71,61,9,0,24,45,0,1,0,4,51,8,7,48,9,6,5,2,37,33,0
1993,PA,0,68,60,6,1,19,48,0,0,0,8,29,20,10,49,4,2,5,7,41,27,0
1994,PA,1,86,85,2,0,18,67,0,1,0,4,39,40,4,60,5,10,9,2,52,35,0
1995,PA,0,67,66,1,0,14,51,0,2,0,6,28,27,6,53,3,3,7,0,27,41,0
1996,PA,0,53,48,4,0,18,33,0,1,0,2,27,12,11,41,8,0,1,2,25,27,0
1997,PA,0,43,42,1,0,15,24,0,4,0,4,19,13,7,33,5,2,2,1,24,19,0
1998,PA,1,44,42,3,0,16,29,0,0,0,5,23,9,8,35,2,5,3,0,30,15,0
1999,PA,1,44,37,8,0,13,33,0,0,0,4,21,15,5,27,4,1,9,3,26,19,0
2000,PA,1,21,19,3,0,4,17,0,1,0,4,11,1,5,15,1,0,5,1,10,11,0
2001,PA,0,23,20,2,0,5,17,0,0,0,2,10,4,6,19,0,0,0,3,11,12,0
2002,PA,0,32,31,1,0,9,23,0,0,0,7,10,5,9,26,4,2,0,0,18,15,0
2003,PA,0,32,29,3,0,10,21,0,0,1,3,22,3,4,22,1,0,1,8,19,13,0
2004,PA,0,29,29,0,0,4,24,0,1,0,0,15,7,7,21,2,3,0,3,10,19,0
2005,PA,0,37,37,0,0,7,29,0,0,0,1,21,0,14,29,3,1,1,2,27,9,0
2006,PA,0,28,27,1,0,5,23,0,0,0,1,19,1,7,21,2,1,0,4,21,7,0
2007,PA,0,45,41,4,0,7,38,0,0,0,9,18,4,14,29,7,0,3,6,33,12,0
2008,PA,0,39,37,2,0,10,28,0,1,0,1,19,7,12,27,1,1,5,5,20,19,0
2009,PA,1,25,24,2,0,9,17,0,0,0,1,15,1,9,17,5,0,1,3,19,7,0
2010,PA,0,35,34,1,0,6,29,0,0,0,2,13,10,10,27,1,1,5,1,19,16,0
2011,PA,0,14,13,1,0,2,12,0,0,0,0,8,2,4,13,0,0,0,1,7,7,0
2012,PA,0,20,18,2,0,8,13,0,0,0,2,13,1,5,18,0,0,0,2,13,8,0
2013,PA,0,13,13,0,0,6,7,0,0,0,1,7,1,4,9,2,0,1,1,10,3,0
2014,PA,0,12,11,1,0,5,7,0,0,0,0,5,0,7,8,3,0,0,1,6,6,0
2015,PA,0,27,25,2,0,4,23,0,0,0,2,12,9,4,19,2,2,0,4,13,14,0
2016,PA,0,18,18,0,0,8,11,0,0,0,3,8,3,5,12,3,1,0,3,10,9,0
2017,PA,0,19,18,1,0,5,14,0,0,0,0,10,4,5,15,0,0,3,1,11,8,0
2018,PA,0,15,15,0,0,7,8,0,0,0,1,4,3,7,14,1,0,0,0,10,5,0
2019,PA,0,14,7,7,0,2,12,0,0,0,2,10,0,2,10,1,0,1,2,10,5,0
1980,KY,0,14,12,2,0,10,3,0,0,0,1,11,2,0,6,4,3,0,1,9,5,0
1981,KY,0,12,10,2,0,8,4,0,0,0,2,5,5,0,11,1,0,0,0,7,5,0
1982,KY,0,6,5,1,0,4,3,0,0,0,3,3,1,0,3,3,0,1,0,6,0,0
1983,KY,0,19,16,3,0,14,5,0,0,0,5,11,1,1,12,3,3,0,1,18,1,0
1984,KY,0,7,5,2,0,6,1,0,0,0,4,3,0,0,4,0,1,0,2,3,4,0
1985,KY,0,18,15,3,0,14,4,0,0,0,2,12,3,1,14,3,0,0,1,7,11,0
1986,KY,0,10,9,1,0,8,2,0,0,0,3,5,2,0,6,2,2,0,0,8,2,0
1989,KY,0,9,5,4,0,7,2,0,0,0,2,2,0,5,9,0,0,0,0,4,5,0
1990,KY,0,17,15,2,0,8,10,0,0,0,5,1,4,6,12,1,0,1,3,12,5,0
1991,KY,0,15,12,3,0,7,8,0,0,0,1,4,1,9,9,0,1,3,2,9,6,0
1992,KY,0,9,9,0,0,7,2,0,0,0,0,1,0,8,6,1,1,0,1,6,3,0
1993,KY,0,22,22,0,0,11,12,0,0,0,3,8,7,3,16,2,2,1,1,15,7,0
1995,KY,0,21,18,3,0,12,10,0,0,0,5,7,4,4,13,0,4,1,3,10,12,0
1996,KY,0,17,17,0,0,6,6,0,4,0,4,5,2,5,11,2,1,1,1,9,7,0
1997,KY,0,27,26,1,0,9,18,0,0,0,2,14,11,0,18,2,5,0,1,17,10,0
1998,KY,0,8,8,0,0,0,8,0,0,0,0,2,6,0,8,0,0,0,0,2,6,0
2004,KY,0,16,14,2,0,8,9,0,0,0,1,4,7,4,15,1,0,0,0,8,9,0
2005,KY,0,13,12,1,0,8,5,0,0,0,3,4,4,1,10,2,0,1,0,10,3,0
2006,KY,0,11,10,1,0,4,7,0,0,0,1,4,6,0,10,1,0,0,0,7,4,0
2007,KY,0,6,6,0,0,1,5,0,0,0,1,1,4,0,2,0,1,3,0,2,4,0
2008,KY,0,12,12,0,0,3,9,0,0,0,3,5,3,1,11,0,1,0,0,6,6,0
2009,KY,0,13,11,2,0,4,9,0,0,0,3,3,5,2,5,2,5,0,1,2,11,0
2010,KY,0,4,3,1,0,3,1,0,0,0,2,1,1,0,4,0,0,0,0,2,2,0
2011,KY,0,6,5,1,0,2,4,0,0,0,3,0,3,0,1,0,1,3,1,3,3,0
2012,KY,0,9,8,1,0,4,5,0,0,0,3,2,1,3,5,1,1,2,0,6,3,0
2013,KY,0,3,1,2,0,2,1,0,0,0,2,0,1,0,1,0,0,1,1,3,0,0
2014,KY,0,13,13,0,0,4,9,0,0,0,1,6,3,3,12,0,0,1,0,3,10,0
2015,KY,0,10,10,1,0,6,4,0,0,1,3,4,2,2,8,0,0,0,3,5,6,0
2016,KY,0,23,18,5,0,8,15,0,0,0,1,11,8,3,16,5,0,1,1,6,17,0
2017,KY,0,30,26,4,0,7,23,0,0,0,3,10,17,0,19,1,7,0,3,11,19,0
2018,KY,0,15,12,3,0,6,9,0,0,0,3,7,4,1,11,1,0,0,3,9,6,0
2019,KY,0,26,24,2,0,10,16,0,0,0,3,10,11,2,25,0,0,1,0,10,16,0
2020,KY,0,19,17,2,0,5,14,0,0,0,1,6,11,0,19,0,0,0,0,7,11,0
1980,RI,0,2,2,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0
1981,RI,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1982,RI,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0
1983,RI,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
1984,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,RI,0,2,2,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,2,0,0
1986,RI,0,3,3,0,0,3,0,0,0,0,0,2,1,0,3,0,0,0,0,2,1,0
1987,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,RI,0,3,3,0,0,1,2,0,0,0,0,0,1,2,1,0,2,0,0,1,2,0
1989,RI,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1990,RI,0,3,3,0,0,1,2,0,0,0,0,2,0,1,3,0,0,0,0,3,0,0
1991,RI,0,2,2,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0
1992,RI,0,3,3,0,0,2,0,0,1,0,0,2,1,0,3,0,0,0,0,1,2,0
1993,RI,0,12,12,0,0,6,2,0,4,0,0,9,2,1,7,2,2,0,1,2,10,0
1994,RI,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1995,RI,0,3,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,1,2,0
1996,RI,0,3,2,1,0,2,1,0,0,0,1,1,1,0,1,1,1,0,0,3,0,0
1997,RI,0,2,2,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0
1998,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,RI,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2000,RI,0,3,3,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0
2001,RI,0,2,2,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0
2002,RI,0,5,5,0,0,1,0,0,4,0,0,1,4,0,5,0,0,0,0,2,3,0
2003,RI,0,2,2,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0
2004,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,RI,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2006,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,RI,0,3,3,0,0,1,1,0,1,0,0,1,2,0,2,0,0,0,1,1,2,0
2008,RI,0,5,4,1,0,0,0,0,5,0,0,0,5,0,5,0,0,0,0,0,5,0
2009,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,RI,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2012,RI,0,2,2,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0
2013,RI,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2014,RI,0,2,2,0,0,0,2,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0
2015,RI,0,2,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0
2016,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,RI,0,2,2,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,0
2018,RI,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2019,RI,0,6,6,0,0,5,1,0,0,0,0,2,4,0,2,0,0,4,0,0,6,0
2020,RI,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
1980,LA,0,32,32,0,0,6,25,0,0,0,5,16,9,1,16,10,4,0,1,29,3,0
1981,LA,0,35,29,5,0,11,24,0,0,0,4,20,11,0,18,10,3,1,2,23,12,0
1982,LA,1,23,23,1,0,6,19,0,0,0,0,15,8,1,13,8,1,1,1,21,3,0
1983,LA,0,22,17,5,0,6,16,0,0,0,5,9,7,1,14,6,1,0,1,19,2,0
1984,LA,0,24,18,6,0,9,15,0,0,0,3,14,6,1,17,6,0,0,1,17,7,0
1985,LA,0,15,14,1,0,6,9,0,0,0,1,2,11,0,9,3,1,0,1,7,8,0
1986,LA,0,35,34,1,0,7,28,0,0,0,4,16,12,2,27,7,1,0,0,25,10,0
1987,LA,1,19,19,1,0,1,19,0,0,0,3,15,3,0,12,1,1,0,6,10,11,0
1988,LA,0,35,35,0,0,12,23,0,0,0,3,24,3,3,29,5,1,0,0,29,6,0
1989,LA,2,56,52,7,0,9,49,0,0,0,9,39,8,2,41,13,2,2,0,37,22,0
1990,LA,0,73,65,9,0,14,60,0,0,0,4,43,26,0,51,5,16,0,1,36,37,0
1992,LA,1,69,65,4,0,4,65,0,0,0,6,42,22,0,58,4,3,2,1,48,21,0
1993,LA,1,77,72,6,0,10,68,0,0,0,5,51,18,5,68,1,0,5,5,37,41,0
1994,LA,0,83,79,4,0,16,66,0,1,0,3,50,23,7,66,4,3,5,4,42,42,0
1995,LA,0,68,62,6,0,8,59,0,0,1,8,34,16,9,56,4,1,6,1,39,29,0
1996,LA,0,69,66,3,0,5,61,0,3,0,5,50,12,2,57,6,1,3,2,28,42,0
1997,LA,0,58,55,3,0,5,49,0,3,0,6,32,15,4,43,9,1,3,2,30,28,0
1998,LA,0,31,31,0,0,5,26,0,0,0,1,18,9,3,23,3,3,1,1,19,12,0
1999,LA,0,20,17,3,0,2,18,0,0,0,2,10,6,1,12,3,1,2,1,9,10,0
2000,LA,0,27,26,1,0,5,22,0,0,0,7,8,9,2,17,5,0,3,2,15,13,0
2001,LA,0,13,13,0,0,1,12,0,0,0,2,7,4,0,9,3,0,0,1,4,9,0
2002,LA,0,30,26,4,0,9,21,0,0,0,2,20,3,4,18,4,1,5,1,10,20,0
2003,LA,0,23,19,3,0,1,20,0,1,0,2,12,5,3,14,2,1,2,3,10,12,0
2004,LA,0,30,28,2,0,1,29,0,0,0,1,11,15,2,22,3,2,2,1,18,12,0
2005,LA,0,21,20,1,0,0,21,0,0,0,0,12,3,6,18,2,0,0,1,14,8,0
2006,LA,0,58,56,1,0,7,49,0,2,0,3,28,17,9,48,4,4,1,0,23,35,0
2007,LA,0,42,41,1,0,2,40,0,0,0,3,11,9,19,38,3,0,0,1,23,19,0
2008,LA,0,24,23,1,0,1,23,0,0,0,1,15,3,5,19,4,0,0,1,11,13,0
2009,LA,0,37,35,2,0,4,32,0,0,0,3,16,10,8,31,1,1,1,2,22,15,0
2010,LA,0,49,47,2,0,4,45,0,0,0,1,13,16,19,39,4,0,4,1,19,31,0
2011,LA,0,20,18,2,0,1,19,0,0,0,0,6,4,10,18,2,0,0,0,11,10,0
2012,LA,0,25,25,0,0,2,23,0,0,0,1,7,15,2,21,1,0,3,0,11,15,0
2013,LA,0,23,22,1,0,2,21,0,0,0,3,15,3,1,19,3,0,1,0,15,8,0
2014,LA,0,26,26,0,0,7,19,0,0,0,5,14,3,3,20,1,0,2,2,16,9,0
2015,LA,0,25,25,0,0,2,23,0,0,0,2,13,4,6,22,3,0,0,0,14,11,0
2016,LA,0,25,24,1,0,4,21,0,0,0,2,10,5,8,18,0,0,3,4,13,12,0
2017,LA,1,33,30,4,0,2,32,0,0,0,3,18,4,9,27,1,1,4,1,16,19,0
2018,LA,0,41,38,3,0,5,36,0,0,0,1,16,4,19,36,3,0,1,1,15,25,0
2019,LA,0,33,32,1,0,2,30,0,1,0,4,10,4,15,29,2,0,0,2,19,15,0
2020,LA,1,45,42,4,0,7,39,0,0,0,4,21,2,19,43,1,0,1,1,17,29,0
1980,SC,0,16,15,1,0,11,5,0,0,0,3,10,3,0,9,4,1,2,0,11,5,0
1981,SC,0,16,14,2,0,10,6,0,0,0,4,9,3,0,10,6,0,0,0,11,5,0
1982,SC,0,13,9,4,0,8,5,0,0,0,2,10,1,0,8,3,2,0,0,8,5,0
1983,SC,0,8,6,2,0,2,6,0,0,0,1,4,3,0,4,3,0,0,1,4,4,0
1984,SC,0,10,8,2,0,3,7,0,0,0,4,4,1,1,6,3,0,0,1,7,3,0
1985,SC,0,19,17,2,0,5,14,0,0,0,3,5,9,2,13,3,1,1,1,10,9,0
1986,SC,0,19,19,0,0,11,8,0,0,0,6,6,7,0,13,4,2,0,0,13,6,0
1987,SC,1,23,20,4,0,7,16,0,0,0,3,12,5,3,14,5,3,0,1,16,7,0
1988,SC,0,22,20,2,0,6,16,0,0,0,5,9,3,5,17,3,1,1,0,9,13,0
1989,SC,2,22,22,2,0,11,13,0,0,0,5,11,4,4,15,1,3,4,1,9,15,0
1990,SC,1,31,30,2,0,8,24,0,0,0,5,17,8,2,18,6,3,2,3,22,10,0
1991,SC,0,47,46,1,0,4,42,0,0,0,3,24,14,5,34,4,6,1,1,16,31,0
1992,SC,0,51,49,2,0,3,48,0,0,0,2,22,24,2,41,3,1,6,0,12,39,0
