State,Year,0 to 11,12 to 17,Male,Female,Unknown Gender,White,Black,Amer. Indian/Alaskan Native,Asian/Nat. Hawaiian/Pac Isl,Unknown Race,Pattern
AK,1980,-0.34596717777600594,-0.5133640174656106,-0.5073668258391131,-0.632546551198449,-0.10510389060631,-0.420299577871345,-0.6135060294600118,2.625141827834342,-0.2264911699210134,-0.17441905007072317,0
AK,1981,-0.34596717777600594,-0.4921265019828809,-0.4850173740748928,-0.632546551198449,-0.10510389060631,-0.3024272035520275,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
AK,1982,-0.34596717777600594,-0.36470140908650284,-0.395619567018012,-0.014718253531496415,-0.10510389060631,-0.18455482923271008,-0.6135060294600118,4.105991064048586,-0.2264911699210134,-0.17441905007072317,0
AK,1983,1.438597982164635,-0.5133640174656106,-0.4850173740748928,-0.632546551198449,-0.10510389060631,-0.3810087864315725,-0.6135060294600118,2.625141827834342,-0.2264911699210134,-0.17441905007072317,0
AK,1984,-0.34596717777600594,-0.42841395553469186,-0.4179690187822322,-0.632546551198449,-0.10510389060631,-0.18455482923271008,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
AK,1985,-0.34596717777600594,-0.5346015329483402,-0.5520657293675535,-0.3236324023649727,-0.10510389060631,-0.3810087864315725,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
AK,1986,1.438597982164635,-0.5133640174656106,-0.4850173740748928,-0.632546551198449,-0.10510389060631,-0.420299577871345,-0.6135060294600118,4.105991064048586,-0.2264911699210134,-0.17441905007072317,0
AK,1987,-0.34596717777600594,-0.5133640174656106,-0.5073668258391131,-0.632546551198449,-0.10510389060631,-0.3810087864315725,-0.6135060294600118,1.1442925916200979,-0.2264911699210134,-0.17441905007072317,0
AK,1988,-0.34596717777600594,-0.4708889865001512,-0.4626679223106726,-0.632546551198449,-0.10510389060631,-0.2631364121122551,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
AK,1989,-0.34596717777600594,-0.5133640174656106,-0.5073668258391131,-0.632546551198449,-0.10510389060631,-0.3810087864315725,-0.573060437366937,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
AK,1990,-0.34596717777600594,-0.4921265019828809,-0.4850173740748928,-0.632546551198449,-0.10510389060631,-0.3024272035520275,-0.6135060294600118,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
AK,1991,-0.34596717777600594,-0.4921265019828809,-0.5073668258391131,-0.3236324023649727,-0.10510389060631,-0.3810087864315725,-0.573060437366937,1.1442925916200979,-0.2264911699210134,-0.17441905007072317,0
AK,1992,-0.34596717777600594,-0.4921265019828809,-0.4850173740748928,-0.632546551198449,-0.10510389060631,-0.3417179949918,-0.573060437366937,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
AK,1993,-0.34596717777600594,-0.44965147101742153,-0.4403184705464524,-0.632546551198449,-0.10510389060631,-0.2631364121122551,-0.6135060294600118,-0.3365566445941464,0.27725167572547926,-0.17441905007072317,0
AK,1994,-0.34596717777600594,-0.36470140908650284,-0.35092066348957157,-0.632546551198449,-0.10510389060631,-0.18455482923271008,-0.573060437366937,1.1442925916200979,0.27725167572547926,-0.17441905007072317,0
AK,1995,-0.34596717777600594,-0.5133640174656106,-0.5073668258391131,-0.632546551198449,-0.10510389060631,-0.3810087864315725,-0.6135060294600118,-0.3365566445941464,0.27725167572547926,-0.17441905007072317,0
