Year,State,Less than a high school diploma,High school diploma only,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only
1980,AL,5254,2611,59.5,29.6
1980,AL,11666,7011,53.9,32.4
1980,AL,9678,5578,54,31.1
1980,AL,141531,132921,35.3,33.1
1980,AL,11841,7947,50.1,33.6
1980,AL,13473,11735,36.4,31.7
1980,AL,21870,12652,54.4,31.5
1980,AZ,220040,307465,25,34.9
1980,AZ,22493,16011,45,32
1980,AR,13778,7451,53.8,29.1
1980,CA,162536,215093,24,31.7
1980,CA,73252,129454,18.3,32.3
1980,CA,10246,20478,18.8,37.7
1980,CA,1336041,1336165,30.2,30.2
1980,CA,15133,36832,10.1,24.6
1980,CA,221997,360814,19.6,31.9
1980,CA,16277,26147,22.6,36.2
1980,CA,125066,139431,31.1,34.7
1980,CA,102522,159194,22,34.2
1980,CA,6015,3696,43.5,26.7
1980,CA,146148,180774,29,35.8
1980,CA,236104,355635,22,33.1
1980,CA,124793,120456,26,25.1
1980,CA,69840,119239,18.4,31.5
1980,CA,154450,217564,20.5,28.9
1980,CA,16314,17837,26.5,29
1980,CO,34675,57185,26.5,43.7
1980,CO,19523,54421,11.4,31.8
1980,CO,546,1531,12.3,34.5
1980,CO,78298,93134,25.3,30.1
1980,CO,1665,5191,11.5,35.7
1980,CO,938,1796,23.3,44.7
1980,CO,206,527,13,33.2
1980,CO,29824,78198,13.8,36.1
1980,CO,571,1228,17.7,38
1980,CT,150629,172412,30.3,34.7
1980,CT,21520,28988,26.9,36.2
1980,CT,14661,22798,23.2,36.1
1980,DE,63865,82914,27.6,35.9
1980,DC,131277,101817,32.9,25.5
1980,FL,4057,2903,49.3,35.3
1980,FL,207702,263549,29.6,37.5
1980,FL,9901,14533,26.3,38.6
1980,FL,109223,117321,33.2,35.7
1980,FL,12676,11954,40.1,37.8
1980,FL,131178,134571,34.2,35
1980,FL,27532,25201,38.2,34.9
1980,FL,377497,319136,36,30.4
1980,FL,7654,6886,41.9,37.7
1980,FL,81017,99504,29.6,36.3
1980,FL,11978,11738,38.6,37.8
1980,FL,116364,140957,29.3,35.5
1980,FL,63432,52929,44.2,36.9
1980,FL,166139,189108,31.7,36.1
1980,FL,10830,11227,34,35.3
1980,FL,25723,39010,23.8,36.1
1980,GA,7656,2683,62.3,21.8
1980,GA,14009,5948,60.1,25.5
1980,GA,4295,2228,56.4,29.3
1980,GA,16452,8145,53.1,26.3
1980,GA,13980,8768,47.9,30.1
1980,GA,27152,32632,33.5,40.2
1980,GA,48227,53420,27.7,30.7
1980,GA,12251,6038,53.9,26.5
1980,GA,1790,724,63.3,25.6
1980,GA,65035,79330,23.1,28.2
1980,GA,12754,10953,42.6,36.6
1980,GA,4524,6304,26.7,37.2
1980,GA,7848,4914,49.2,30.8
1980,GA,118339,92138,34,26.5
1980,GA,26891,31351,28.3,32.9
1980,GA,6380,2888,58,26.2
1980,GA,2426,849,64.5,22.6
1980,GA,9559,6936,45.6,33.1
1980,GA,2583,1071,58.6,24.3
1980,GA,3834,1914,54.3,27.1
1980,GA,7191,2966,60.6,25
1980,GA,3780,1405,58.9,21.9
1980,GA,10480,5242,54.9,27.5
1980,GA,8529,4380,58.3,30
1980,GA,4368,1591,62.1,22.6
1980,GA,2771,1503,53.1,28.8
1980,GA,7594,7420,36.6,35.7
1980,GA,15244,7064,55.6,25.8
1980,GA,10836,4124,62,23.6
1980,IL,4273,3298,44.7,34.5
1980,IL,1940,1224,53.2,33.6
1980,IL,8073,6933,44.7,38.4
1980,IL,1112739,976980,35.7,31.4
1980,IL,8983,13493,24.8,37.2
1980,IL,64804,128369,16.9,33.4
1980,IL,5874,8216,33.3,46.5
1980,IL,4721,4665,40.7,40.3
1980,IL,45904,58491,29.4,37.5
1980,IL,4730,9602,23.1,46.9
1980,IL,55019,83230,22.4,33.9
1980,IL,21371,33936,25.1,39.9
1980,IL,11982,13031,39.7,43.2
1980,IL,54604,57481,37.2,39.1
1980,IL,4803,5085,40.2,42.6
1980,IL,60955,50382,40.9,33.8
1980,IL,52832,71149,29.8,40.2
1980,IN,5517,9823,25.5,45.4
1980,IN,2492,2815,33.4,37.7
1980,IN,18465,20752,36.4,40.9
1980,IN,7710,8289,39.3,42.2
1980,IN,13438,14581,37.4,40.6
1980,IN,9188,17755,19.4,37.4
1980,IN,6615,12117,26.5,48.6
1980,IN,5793,7073,37.5,45.8
1980,IN,9360,18954,23.6,47.7
1980,IN,4953,6278,35.7,45.2
1980,IN,12611,19171,29.2,44.3
1980,IN,106435,119450,36.7,41.1
1980,IN,28805,35915,35.5,44.2
1980,IN,144440,163470,32.5,36.8
1980,IN,10247,13362,35.1,45.7
1980,IN,2963,3882,35.2,46.2
1980,IN,1385,1252,45.8,41.4
1980,IN,16517,29631,25.5,45.7
1980,IN,4900,7862,30,48.1
1980,IN,5842,4173,51.4,36.7
1980,IN,8416,10431,36.6,45.3
1980,IN,1495,1717,37.8,43.4
1980,IN,5996,4890,48,39.1
1980,KS,18245,52591,11.2,32.3
1980,KS,8897,12950,27.9,40.5
1980,KS,1989,2378,36.7,43.9
1980,KS,4145,5999,31.6,45.7
1980,KS,37420,38924,38.2,39.7
1980,KY,8706,10418,34.7,41.5
1980,KY,2606,1542,56.3,33.3
1980,KY,10428,8722,47,39.3
1980,KY,21188,17129,44.4,35.9
1980,KY,1569,827,56.8,30
1980,KY,3889,2729,51,35.8
1980,KY,3816,2766,49.1,35.6
1980,KY,147961,139211,36.4,34.2
1980,KY,32000,27188,41,34.8
1980,KY,4761,5700,30.7,36.7
1980,KY,3278,2271,52.5,36.4
1980,KY,6249,4950,44.9,35.6
1980,KY,2084,1035,60.3,30
1980,KY,1878,1397,50.8,37.8
1980,LA,80049,91132,31.6,35.9
1980,LA,130101,86770,40.8,27.2
1980,LA,6558,4579,49.6,34.6
1980,LA,15216,15084,42.4,42
1980,LA,7864,7062,41.1,36.9
1980,LA,5221,3679,48.9,34.5
1980,LA,6758,5763,42.3,36.1
1980,LA,19841,19832,32.2,32.1
1980,MD,62985,77965,29.5,36.5
1980,MD,130396,142928,31.7,34.8
1980,MD,6929,7882,35.4,40.2
1980,MD,21748,20184,38.2,35.4
1980,MD,14327,12190,41.6,35.4
1980,MD,11888,15864,31,41.4
1980,MD,24247,22441,36.6,33.8
1980,MD,25402,30006,30.9,36.5
1980,MD,11874,18368,16.9,26.2
1980,MD,45819,91040,12.7,25.2
1980,MD,83035,140142,22.6,38.1
1980,MD,6982,4990,44.3,31.7
1980,MD,240522,124378,51.6,26.7
1980,MA,135496,87774,47.4,30.7
1980,MA,105515,147046,27,37.7
1980,MA,187100,291578,22.6,35.2
1980,MA,67598,143138,18,38.2
1980,MA,53415,96757,22.9,41.4
1980,MA,124607,139300,32.2,36
1980,MI,12050,16743,32.5,45.2
1980,MI,12571,23967,22.7,43.3
1980,MI,122343,167881,30.8,42.3
1980,MI,133121,210859,22.2,35.1
1980,MI,27276,32483,35,41.6
1980,MI,521105,476819,38.6,35.3
1980,MN,20205,49344,19.9,48.6
1980,MN,5404,8431,27,42.1
1980,MN,4580,6309,31.7,43.7
1980,MN,17125,44243,16.4,42.3
1980,MN,104423,202957,18.3,35.6
1980,MN,4543,5491,34.9,42.2
1980,MN,4509,5418,33.5,40.3
1980,MN,4577,4108,42.4,38
1980,MN,61097,101478,22.8,37.9
1980,MN,5986,10056,25.9,43.6
1980,MN,4179,6576,27.1,42.6
1980,MN,4187,3404,45.4,36.9
1980,MN,10474,26712,17.1,43.6
1980,MN,9668,14216,30.9,45.5
1980,MS,2690,1125,61.1,25.5
1980,MS,12088,10805,42,37.5
1980,MS,8371,3770,56.6,25.5
1980,MS,5231,2816,50.3,27.1
1980,MS,3168,707,69.2,15.4
1980,MO,4305,4202,42.3,41.3
1980,MO,2112,2467,38.2,44.6
1980,MO,8721,13238,30,45.5
1980,MO,18676,34950,23.3,43.6
1980,MO,3027,4257,31.9,44.8
1980,MO,19018,14709,47.5,36.7
1980,MO,110493,144540,29.3,38.3
1980,MO,32544,32402,40.6,40.4
1980,MO,7265,7609,39.1,41
1980,MO,6191,5175,47.3,39.5
1980,MO,5407,11032,20.2,41.2
1980,MO,4993,5689,38.9,44.4
1980,MO,22566,32945,28.7,41.8
1980,MO,153870,201445,26.1,34.2
1980,MO,4189,3343,46.4,37
1980,MO,141644,74858,51.8,27.4
1980,NV,70724,112427,26,41.3
1980,NH,25435,44088,22.7,39.3
1980,NH,13876,17221,30,37.2
1980,NJ,145167,194892,26.3,35.3
1980,NJ,52871,82699,25.7,40.1
1980,NJ,95875,102206,34.5,36.8
1980,NJ,189992,165430,37.2,32.4
1980,NJ,38464,46106,33.8,40.6
1980,NJ,166251,107972,48.5,31.5
1980,NJ,12652,19602,23.9,37
1980,NJ,106372,138350,30,39
1980,NJ,79313,111433,26,36.5
1980,NJ,48894,86139,19.8,34.9
1980,NJ,78010,88703,34.8,39.6
1980,NJ,112710,90820,41.7,33.6
1980,NJ,14445,15836,37.5,41.2
1980,NJ,28974,44398,23,35.2
1980,NJ,16688,28026,24.5,41.1
1980,NJ,101377,119168,31.4,36.9
1980,NY,335762,211877,49.2,31
1980,NY,43022,50888,29.4,34.8
1980,NY,212504,216885,34.6,35.4
1980,NY,600751,429695,45.1,32.2
1980,NY,10159,11774,32.7,37.9
1980,NY,116994,139390,28.3,33.7
1980,NY,184257,311715,22.3,37.7
1980,NY,324150,210765,32,20.8
1980,NY,46274,54808,34.3,40.7
1980,NY,15224,20196,29,38.5
1980,NY,48615,55787,32.5,37.3
1980,NY,8563,8873,38.2,39.6
1980,NY,10239,18540,22.6,41
1980,NY,459941,423064,36.9,33.9
1980,NY,66033,82405,31.5,39.3
1980,NY,35312,50534,23.4,33.4
1980,NY,192565,290550,26.3,39.6
1980,NY,17770,18887,36.2,38.5
1980,NY,137801,178715,24.8,32.2
1980,NY,4549,4943,35.4,38.4
1980,NC,26703,14009,51,26.7
1980,NC,3284,2326,49.6,35.1
1980,NC,10119,4585,56.8,25.7
1980,NC,51507,23219,53.9,24.3
1980,NC,3042,1330,57.1,25
1980,NC,24749,13978,49.9,28.2
1980,NC,22622,12019,53.4,28.4
1980,NC,13336,6777,53.1,27
1980,NC,72799,65024,30.7,27.4
1980,NC,31069,16313,50.6,26.6
1980,NC,18533,12019,47.2,30.6
1980,NC,47489,44742,27.5,25.9
1980,OH,8412,7183,46.6,39.8
1980,OH,50338,54624,35.3,38.3
1980,OH,26921,27385,38.7,39.3
1980,OH,307839,340956,33.3,36.8
1980,OH,7628,12975,25.2,42.9
1980,OH,16425,25399,30.2,46.7
1980,OH,132548,175932,27,35.9
1980,OH,9866,16793,23.3,39.7
1980,OH,179002,166041,35,32.4
1980,OH,5560,6446,39.4,45.7
1980,OH,32403,55182,26.1,44.5
1980,OH,22384,31630,32,45.3
1980,OH,50059,65293,33,43
1980,OH,7528,8214,39.3,42.9
1980,OH,15270,29189,24.1,46
1980,OH,5421,7241,36.4,48.6
1980,OH,6723,8206,39.1,47.7
1980,OH,10052,10951,39.8,43.3
1980,OH,5299,8153,31,47.7
1980,OH,20673,22118,37.3,39.9
1980,OK,7852,12897,24.5,40.3
1980,OK,14654,22435,21.2,32.4
1980,OK,9670,7969,41.9,34.6
1980,OK,6749,6176,42.3,38.7
1980,OK,5969,5353,38.6,34.6
1980,OK,5027,4333,42.1,36.3
1980,OK,87996,116547,26.3,34.8
1980,OR,29851,55239,20.6,38.2
1980,OR,6447,9237,30.7,44
1980,OR,83457,123474,23.6,34.9
1980,OR,21598,49082,15,34
1980,OR,8936,12218,28,38.3
1980,PA,285111,372084,31,40.4
1980,PA,19705,21389,41.3,44.8
1980,PA,44135,56167,35.2,44.8
1980,PA,70224,116345,25.3,41.9
1980,PA,26412,38366,30.9,44.9
1980,PA,43998,66563,23.6,35.7
1980,PA,94280,136855,27.7,40.2
1980,PA,41212,42474,42.2,43.5
1980,PA,97724,147218,24.2,36.4
1980,PA,469464,348100,45.7,33.9
1980,PA,4335,5003,35,40.4
1980,PA,50898,56869,37.6,42
1980,PA,76916,111893,31.4,45.7
1980,RI,10919,7690,38.4,27
1980,RI,31158,34999,33.2,37.2
1980,RI,13496,16240,28,33.6
1980,RI,154535,111662,43.9,31.7
1980,RI,13841,17897,26.3,34
1980,SC,10131,4137,58.4,23.8
1980,SC,16365,8711,53.8,28.6
1980,SC,28313,15360,47.4,25.7
1980,TN,3488,1982,55.4,31.5
1980,TN,6185,4188,50.4,34.2
1980,TN,97086,90512,33.9,31.6
1980,TN,9181,5997,52,33.9
1980,TN,7815,3721,58,27.6
1980,TN,5271,2577,58.9,28.8
1980,TN,6249,2506,65.3,26.2
1980,TN,14615,10205,47.7,33.3
1980,TN,10309,7956,47.6,36.7
1980,TN,17025,16149,37.2,35.3
1980,TN,148026,146979,34.1,33.9
1980,TN,5217,2740,57,29.9
1980,TN,19533,17678,39.5,35.7
1980,TN,9563,5908,52.9,32.7
1980,TN,2186,1083,57.7,28.6
1980,TN,10626,10327,31.1,30.2
1980,TN,12851,12470,38.8,37.7
1980,TX,7411,3727,54.1,27.2
1980,TX,6011,2900,54.4,26.3
1980,TX,1683,1743,35.1,36.4
1980,TX,7582,3972,51,26.7
1980,TX,196198,154249,36.9,29
1980,TX,32171,30616,34.8,33.1
1980,TX,6608,3077,52.8,24.6
1980,TX,4330,3247,42.5,31.9
1980,TX,19154,23179,24,29
1980,TX,9169,6880,40,30
1980,TX,256210,264826,28.8,29.8
1980,TX,17973,22508,23.1,28.9
1980,TX,15186,11113,44.3,32.4
1980,TX,20225,18587,28.4,26.1
1980,TX,39259,36267,34.7,32.1
1980,TX,11367,8675,42.4,32.4
1980,TX,395581,385039,29.5,28.7
1980,TX,6758,3955,37.9,22.2
1980,TX,4293,3518,37.6,30.8
1980,TX,14176,9557,43.4,29.2
1980,TX,15646,13296,39.7,33.8
1980,TX,11231,6876,48,29.4
1980,TX,2365,1989,35.1,29.5
1980,TX,13489,8152,49.9,30.2
1980,TX,7285,3637,54.6,27.2
1980,TX,24545,23976,34.2,33.4
1980,TX,10897,8360,40.7,31.2
1980,TX,2560,2803,29.7,32.5
1980,TX,1190,683,48.8,28
1980,TX,149728,152703,30.4,31
1980,TX,55917,57990,24.6,25.5
1980,TX,4181,2730,41.9,27.4
1980,TX,14967,12672,34.5,29.2
1980,TX,5243,2744,54.8,28.7
1980,TX,7676,5109,47.9,31.9
1980,UT,61859,111210,19.7,35.3
1980,UT,3571,5198,27.8,40.5
1980,VA,2951,1270,59.3,25.5
1980,VA,14228,25992,13.4,24.4
1980,VA,5765,2928,57.2,29
1980,VA,2130,958,58.1,26.1
1980,VA,21500,24966,27,31.3
1980,VA,2721,1854,42.7,29.1
1980,VA,6745,3749,49.9,27.7
1980,VA,7974,3256,60.1,24.5
1980,VA,40983,92825,11.5,26.1
1980,VA,8337,6488,39.7,30.9
1980,VA,5431,3684,43.9,29.8
1980,VA,3823,1750,52.9,24.2
1980,VA,12091,9701,40.3,32.3
1980,VA,34368,34952,30.7,31.2
1980,VA,6565,3471,52,27.5
1980,VA,4834,3810,35.7,28.1
1980,VA,2636,1612,47.2,28.9
1980,VA,8168,11219,24.7,33.9
1980,VA,2532,1637,46.2,29.9
1980,VA,2349,1717,45.1,32.9
1980,VA,3673,2482,47.8,32.3
1980,VA,4017,4463,32.1,35.6
1980,VA,13544,29493,18.1,39.4
1980,VA,2066,1003,53.3,25.9
1980,VA,7903,5937,41.8,31.4
1980,VA,7726,8068,34.8,36.4
1980,VA,3997,1321,62.9,20.8
1980,VA,6029,4448,46,33.9
1980,VA,4695,6757,24,34.6
1980,VA,11988,16329,17,23.1
1980,VA,25008,21700,39.3,34.1
1980,VA,3370,3530,33,34.6
1980,VA,1650,3583,14.4,31.2
1980,VA,938,1560,13.9,23.1
1980,VA,3585,2118,40.5,23.9
1980,VA,21826,22602,32.5,33.7
1980,VA,6141,4592,45.2,33.8
1980,VA,1765,3214,20.8,37.9
1980,VA,1277,1360,40.9,43.5
1980,VA,26563,27414,33,34
1980,VA,52299,45650,38.3,33.4
1980,VA,11893,5835,49.3,24.2
1980,VA,1561,1571,31,31.2
1980,VA,27317,17433,45.4,29
1980,VA,58026,30872,42.9,22.8
1980,VA,14955,6964,53.2,24.8
1980,VA,28239,51992,20,36.9
1980,VA,887,731,22.5,18.5
1980,WA,26583,43886,24.2,40
1980,WA,136536,264517,17.4,33.7
1980,WA,64332,112436,23.7,41.3
1980,WA,1295,2040,28,44.2
1980,WA,43263,78285,22,39.9
1980,WV,7448,5211,43.3,30.3
1980,WI,24863,28670,35.2,40.6
1980,WI,180584,214234,31.5,37.4
1980,WI,7927,14694,20.6,38.1
1980,WI,4778,6313,30,39.7
1980,WI,6265,10441,26.3,43.8
1980,WI,13013,20691,27.9,44.4
1980,WI,30100,65227,18.9,41
1980,AL,7074,6145,40.6,35.2
1980,AL,18125,15380,39.7,33.7
1980,AL,28268,21411,43.3,32.8
1980,AL,14231,11210,44.2,34.8
1980,AL,10585,9169,42.3,36.6
1980,AL,27842,20344,45.1,33
1980,AL,7816,4500,54,31.1
1980,AL,5207,2007,61.8,23.8
1980,AL,5051,2379,56,26.4
1980,AL,17844,13980,41.7,32.7
1980,AL,19666,15561,42.4,33.6
1980,AL,9514,5396,57.1,32.4
1980,AL,13621,9860,37.9,27.4
1980,AL,12837,8272,49.3,31.8
1980,AL,3629,1722,57.5,27.3
1980,AL,32899,34718,29.9,31.5
1980,AL,77046,69871,38.3,34.8
1980,AL,36541,34341,33.2,31.2
1980,AL,20951,18311,40.1,35
1980,AL,6800,3616,56.2,29.9
1980,AL,15314,7656,57.2,28.6
1980,AL,29433,22955,39.9,31.2
1980,AK,10839,36870,11.7,39.6
1980,AK,3762,11660,13.4,41.6
1980,AK,1791,3892,18.6,40.4
1980,AZ,15005,16715,31.2,34.8
1980,AZ,8818,10457,25.6,30.4
1980,AZ,11210,15274,30.9,42.1
1980,AZ,78861,102314,25.4,32.9
1980,AZ,11904,17144,26.1,37.7
1980,AZ,18964,16892,38.4,34.2
1980,AR,18445,17832,38.2,37
1980,AR,2598,1598,54.4,33.5
1980,AR,16279,10388,46,29.4
1980,AR,10100,7744,47.5,36.4
1980,AR,9306,8298,38.1,33.9
1980,AR,18584,16188,40.1,35
1980,AR,3599,2959,46.6,38.3
1980,AR,21300,17133,42.4,34.1
1980,AR,4551,2279,58.4,29.2
1980,AR,3773,2598,47.8,32.9
1980,AR,9075,6794,46.7,34.9
1980,AR,3691,2341,52.1,33.1
1980,AR,9890,7651,45.1,34.9
1980,AR,2124,1629,48.8,37.4
1980,AR,9507,4222,60.6,26.9
1980,AR,55342,70021,28.3,35.8
1980,AR,12341,12568,39.8,40.5
1980,AR,20167,20017,35.6,35.4
1980,AR,19825,17374,36.2,31.7
1980,CA,24743,28587,28.4,32.8
1980,CA,104714,82455,36.3,28.5
1980,CA,23647,11906,49.1,24.7
1980,CA,85492,70627,37.9,31.3
1980,CA,15916,12635,41.3,32.8
1980,CA,14372,11389,39.9,31.6
1980,CA,28243,22220,39.6,31.2
1980,CA,46862,47232,29,29.3
1980,CA,15542,21539,24.6,34.1
1980,CA,75394,64952,37.4,32.2
1980,CA,21459,30880,23.2,33.4
1980,CA,36823,53305,20.9,30.2
1980,CA,25943,33368,22.2,28.6
1980,CA,16968,27844,24.4,40
1980,CA,30457,51166,23.2,38.9
1980,CA,42193,64975,22.4,34.6
1980,CA,58009,48192,38,31.6
1980,CA,9751,9851,32.3,32.6
1980,CA,59651,38667,44.2,28.7
1980,CA,71508,99531,24.1,33.5
1980,CA,9801,9296,36.2,34.3
1980,CO,13308,30296,12.6,28.6
1980,CO,28776,63874,17.3,38.4
1980,CO,14122,26346,17.3,32.3
1980,CO,12055,16883,25.5,35.8
1980,CO,24512,26630,33.5,36.4
1980,CO,825,1956,16.7,39.6
1980,CO,20572,22557,31.2,34.2
1980,CT,135656,157444,27,31.4
1980,CT,150747,165946,32.2,35.4
1980,CT,39855,52878,29,38.5
1980,CT,21740,18597,40.6,34.7
1980,DE,18471,20718,34.6,38.8
1980,DE,25727,21166,42.9,35.3
1980,FL,18559,19965,24.5,26.3
1980,FL,19152,20027,34.2,35.7
1980,FL,41844,64930,24.6,38.1
1980,FL,15157,17484,33.3,38.4
1980,FL,18155,14863,44.7,36.6
1980,FL,16584,20446,28.8,35.5
1980,FL,42937,47740,32.7,36.4
1980,FL,2187,2844,29.2,38
1980,FL,11986,6662,52.9,29.4
1980,FL,1450,1205,43.5,36.1
1980,FL,2557,2629,41.4,42.5
1980,FL,14023,11220,42.8,34.2
1980,FL,13360,13536,33.4,33.8
1980,FL,2889,1804,48.3,30.1
1980,FL,46123,53160,32.6,37.6
1980,FL,16386,21266,21.2,27.5
1980,FL,34824,39614,33.5,38.1
1980,FL,31872,28540,40.5,36.3
1980,FL,13174,16224,29.6,36.5
1980,FL,13391,24546,22.6,41.4
1980,FL,78535,67124,40.2,34.4
1980,FL,20481,19885,37.3,36.2
1980,FL,9397,12007,30.5,38.9
1980,FL,39967,55185,26.6,36.8
1980,FL,7220,5298,48.7,35.8
1980,FL,58148,63678,33.5,36.6
1980,FL,2717,2438,43.3,38.9
1980,FL,6616,4089,49.2,30.4
1980,GA,1464,388,71,18.8
1980,GA,38275,26345,44.2,30.4
1980,GA,2462,1738,52.1,36.8
1980,GA,5116,2075,60.5,24.5
1980,GA,3151,1642,58.1,30.3
1980,GA,6262,2227,61.4,21.9
1980,GA,9484,7805,44.3,36.4
1980,GA,45132,36030,39.4,31.5
1980,GA,1296,3055,18.2,42.8
1980,GA,11654,7162,32.6,20
1980,GA,7161,7729,32.8,35.4
1980,GA,2486,1190,59.5,28.5
1980,GA,3834,1845,56.3,27.1
1980,GA,21653,15608,41.5,29.9
1980,GA,726,386,59,31.4
1980,GA,5328,3368,53.4,33.8
1980,GA,24329,12994,51.2,27.4
1980,GA,12274,10262,38.1,31.9
1980,GA,22942,10826,51.9,24.5
1980,GA,4714,2314,50.3,24.7
1980,GA,12987,16675,31.2,40
1980,GA,4286,3121,45.8,33.3
1980,GA,1836,731,60.6,24.1
1980,GA,2850,1899,45.9,30.6
1980,GA,4460,6141,30.6,42.1
1980,GA,2282,1034,58.9,26.7
1980,GA,1230,753,53.9,33
1980,GA,15244,10945,42.9,30.8
1980,GA,6057,2735,58.1,26.2
1980,GA,2540,1195,58.6,27.6
1980,GA,5880,2719,57.4,26.5
1980,GA,1862,663,64,22.8
1980,GA,4612,2390,54.5,28.2
1980,GA,6824,2630,63.8,24.6
1980,GA,36698,30564,39.1,32.6
1980,GA,2829,1863,39.9,26.3
1980,GA,2932,1334,57.4,26.1
1980,GA,4931,2512,49,25
1980,GA,2811,1272,54.2,24.5
1980,GA,37696,31274,38.6,32
1980,GA,4096,1263,62.7,19.3
1980,GA,3276,1147,66.4,23.3
1980,GA,18505,10002,55.4,29.9
1980,GA,20529,9033,55.3,24.3
1980,GA,5639,2599,56.6,26.1
1980,HI,104633,152346,24.4,35.5
1980,HI,102,29,71.8,20.4
1980,HI,13584,14040,32.3,33.4
1980,ID,17805,33351,18.3,34.3
1980,ID,7012,11935,20.8,35.5
1980,ID,498,710,28.3,40.4
1980,ID,6515,11891,19.4,35.4
1980,ID,530,654,29,35.8
1980,ID,16066,17080,34.8,37
1980,ID,1003,1921,22.6,43.4
1980,ID,2599,2817,36.9,40
1980,ID,2177,2838,29.4,38.3
1980,ID,8547,13667,24.4,39
1980,ID,5485,8037,27.7,40.5
1980,ID,2067,1503,46.9,34.1
1980,IL,3923,2200,53,29.7
1980,IL,5387,7190,33.2,44.3
1980,IL,15710,27712,19.1,33.7
1980,IL,3821,4963,34.6,45
1980,IL,2915,4391,30.7,46.3
1980,IL,10981,15197,32.2,44.5
1980,IL,9015,8026,30.3,27
1980,IL,22567,22375,39,38.7
1980,IL,14879,22957,24,37
1980,IL,24259,32506,31.5,42.3
1980,IL,2819,3973,32.3,45.5
1980,IL,2357,3002,33,42
1980,IL,3705,5303,32.5,46.6
1980,IL,35708,43777,30.7,37.7
1980,IL,2994,4366,30,43.7
1980,IL,29319,40858,30.3,42.2
1980,IL,29465,41363,27.6,38.8
1980,IL,1396,2096,31.3,46.9
1980,IL,23809,32694,31.3,43
1980,IL,21442,22639,37.7,39.8
1980,IL,14754,12562,41.5,35.3
1980,IL,47315,57863,32.5,39.7
1980,IL,5593,8005,29.6,42.3
1980,IN,44484,68627,26.7,41.2
1980,IN,11827,15659,31.5,41.7
1980,IN,1810,3037,29.9,50.1
1980,IN,3756,5797,31.9,49.3
1980,IN,5272,7145,34.8,47.2
1980,IN,23503,28445,33.6,40.7
1980,IN,26994,32281,34.4,41.1
1980,IN,15659,22630,31.5,45.6
1980,IN,23078,26656,36.3,42
1980,IN,12136,14285,25.3,29.7
1980,IN,4048,3921,42.7,41.3
1980,IN,5429,6511,35.9,43.1
1980,IN,45707,56411,32.4,40
1980,IN,4911,6043,37.3,45.8
1980,IN,13764,22199,23.2,37.4
1980,IN,36395,39778,35.8,39.1
1980,IN,4452,4997,39.5,44.3
1980,IN,20378,25080,31.7,39
1980,IN,6742,10252,28.7,43.7
1980,IN,4531,7098,31,48.6
1980,IN,4338,7913,28.7,52.4
1980,IA,4437,6645,31.8,47.6
1980,IA,19811,32968,26.1,43.4
1980,IA,4010,6156,28.6,44
1980,IA,4304,8592,24.3,48.5
1980,IA,15846,21553,31.4,42.7
1980,IA,2635,4028,29.7,45.4
1980,IA,2644,3744,34,48.2
1980,IA,2995,4956,30.4,50.4
1980,IA,6078,11660,14.4,27.6
1980,IA,3832,5396,32.5,45.8
1980,IA,21768,42325,22.4,43.5
1980,IA,2208,3949,28.2,50.5
1980,IA,2688,3463,33.6,43.3
1980,IA,4625,5924,32.8,42
1980,IA,37624,74204,21.2,41.8
1980,IA,15719,23077,31.7,46.6
1980,IA,23056,35122,25.8,39.2
1980,IA,4907,11169,14.4,32.8
1980,IA,4204,9883,21.6,50.9
1980,IA,3772,5325,30.9,43.6
1980,IA,16687,25284,28.3,42.9
1980,KS,7027,10992,26.4,41.3
1980,KS,2085,2330,37.9,42.4
1980,KS,5735,9626,17.7,29.7
1980,KS,4990,7054,27.3,38.6
1980,KS,1913,3668,27.1,52
1980,KS,2697,4525,29,48.6
1980,KS,1881,2345,33.5,41.8
1980,KS,2943,4659,31.3,49.5
1980,KS,2403,4071,27.4,46.5
1980,KS,3714,9145,14.5,35.6
1980,KS,49614,81714,23.5,38.7
1980,KS,20103,38566,21.7,41.7
1980,KS,4885,6873,31.6,44.5
1980,KS,1348,2055,31.1,47.3
1980,KY,5397,2295,61.5,26.1
1980,KY,5393,4186,46.4,36
1980,KY,13856,12394,41,36.7
1980,KY,4255,1751,65.4,26.9
1980,KY,12999,12405,39.5,37.7
1980,KY,7287,5663,44.1,34.3
1980,KY,18959,18224,38.7,37.2
1980,KY,3722,1421,64.5,24.6
1980,KY,32698,32495,28.4,28.2
1980,KY,9607,8420,42.9,37.6
1980,KY,1820,1786,42.8,42
1980,KY,13384,16859,33.5,42.2
1980,KY,10185,8326,42.8,35
1980,KY,5655,4365,40.3,31.1
1980,KY,4056,2324,56.1,32.1
1980,KY,3253,2113,52.9,34.4
1980,KY,4162,4699,35.8,40.4
1980,KY,5473,4122,44.8,33.8
1980,KY,3039,1819,51,30.5
1980,KY,14804,10774,38.7,28.2
1980,KY,4023,3334,39.2,32.5
1980,LA,17914,7744,59.9,25.9
1980,LA,10719,10166,42,39.8
1980,LA,13197,16821,30.9,39.3
1980,LA,55199,43507,38.4,30.2
1980,LA,37794,28985,41.5,31.8
1980,LA,2731,1527,55.6,31.1
1980,LA,7964,4334,53.7,29.2
1980,LA,53066,58947,27.7,30.7
1980,LA,5513,2961,52.7,28.3
